time,trend,season,com3-6,com2
2021/1/9,34575.87908,-638.926042,-1767.21111,-26.741977
2021/1/9,34527.78289,716.534132,-1802.125563,238.808499
2021/1/9,34481.57681,1947.361456,-1697.441282,217.503038
2021/1/9,34436.87353,2678.494424,-1549.08556,236.717671
2021/1/9,34393.2326,3207.060641,-1428.998653,111.705421
2021/1/9,34350.18248,3555.814874,-1353.383593,127.38623
2021/1/9,34307.24655,3872.652304,-1383.643325,69.74448
2021/1/9,34263.97827,4120.840983,-1513.899293,252.080107
2021/1/9,34219.99308,4602.466387,-1680.540448,93.080932
2021/1/9,34174.98524,4734.249152,-1825.709779,101.475365
2021/1/9,34128.74087,4819.815425,-1905.452846,110.896645
2021/1/9,34081.14329,4653.719108,-1915.603573,228.741176
2021/1/9,34032.1775,4768.439723,-1864.409627,218.792463
2021/1/9,33981.93167,4893.106308,-1758.500663,88.462653
2021/1/9,33930.59234,5292.435222,-1589.348131,76.320515
2021/1/9,33878.4401,5927.528457,-1349.923061,-3.045448
2021/1/9,33825.83468,7154.379186,-1056.389434,-5.82447
2021/1/9,33773.19375,8800.541292,-736.716418,94.981362
2021/1/9,33720.97016,9443.798578,-420.475028,227.706292
2021/1/9,33669.63375,9565.488227,-136.268458,348.146483
2021/1/9,33619.66319,8844.270288,96.141943,292.924585
2021/1/9,33571.53097,7731.565334,277.844782,164.058923
2021/1/9,33525.68481,6537.451772,414.899194,-262.035775
2021/1/9,33482.52651,4979.401607,515.632409,56.439469
2021/1/9,33442.39295,3887.775044,597.444037,352.388016
2021/1/9,33405.53838,2551.672727,679.807901,221.980978
2021/1/9,33372.1277,1036.827089,776.770019,166.275172
2021/1/9,33342.23954,-525.720529,883.788207,122.6928
2021/1/9,33315.87721,-2091.97547,992.554841,196.54339
2021/1/9,33292.98107,-3726.872197,1096.046023,24.845047
2021/1/9,33273.4346,-5408.232803,1191.720266,92.077992
2021/1/9,33257.06753,-6470.473947,1280.497539,45.908803
2021/1/10,33243.65388,-6776.420569,1362.472482,-58.705739
2021/1/10,33232.91739,-6336.157076,1427.773358,-143.53374
2021/1/10,33224.53672,-6606.754767,1457.876343,-185.658347
2021/1/10,33218.1493,-7199.802704,1465.060812,-216.407333
2021/1/10,33213.35708,-7684.361848,1460.379028,-105.374247
2021/1/10,33209.7382,-7948.250825,1439.476921,-221.964373
2021/1/10,33206.85728,-8391.651304,1383.870013,-184.075949
2021/1/10,33204.27704,-8754.246381,1273.213424,-63.244049
2021/1/10,33201.57369,-9004.778741,1086.254207,107.950865
2021/1/10,33198.35174,-9055.186106,797.767487,235.066891
2021/1/10,33194.25181,-8674.034161,382.681859,344.100504
2021/1/10,33188.95815,-8091.081588,-171.874821,443.998258
2021/1/10,33182.20189,-6544.176316,-838.22869,259.203104
2021/1/10,33173.76132,-5142.049256,-1545.432535,135.720495
2021/1/10,33163.46661,-3456.330253,-2211.326094,-13.810339
2021/1/10,33151.20153,-2160.347323,-2753.418666,-143.435665
2021/1/10,33136.91291,-548.586178,-3089.952995,-475.373609
2021/1/10,33120.62948,847.042044,-3160.979738,-262.692053
2021/1/10,33102.47231,2103.974807,-2996.220184,-145.226738
2021/1/10,33082.6625,2820.26834,-2659.610684,227.679727
2021/1/10,33061.51535,3308.982058,-2218.104886,471.60737
2021/1/10,33039.42384,3726.091467,-1731.914098,289.398835
2021/1/10,33016.83862,4035.25111,-1234.830104,34.740426
